City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,hermanus,-34.4187,19.2345,14.33,93,100,1.05,ZA,2024-04-24
301,sokoni,-6.4333,39.55,26.24,87,97,6.13,TZ,2024-04-24
302,antsiranana,-12.2787,49.2917,25.46,82,98,5.73,MG,2024-04-24
303,ottumwa,41.02,-92.4113,13.3,57,0,3.6,US,2024-04-24
304,gambiran satu,-8.3939,114.1464,27.87,85,100,2.15,ID,2024-04-24
305,bandarbeyla,9.4942,50.8122,28.57,74,59,1.33,SO,2024-04-24
306,christchurch,-43.5333,172.6333,23.08,37,10,6.69,NZ,2024-04-24
307,chinchilla,-26.75,150.6333,25.57,50,9,1.57,AU,2024-04-24
308,nanchang,28.6833,115.8833,25.04,67,87,1.34,CN,2024-04-24
309,wau,7.7029,27.9953,27.22,37,73,1.19,SS,2024-04-24
310,akrehamn,59.2667,5.1833,5.14,70,100,7.2,NO,2024-04-24
311,queenstown,-31.8976,26.8753,11.71,79,70,0.72,ZA,2024-04-24
312,trondheim,63.4305,10.3951,4.05,88,100,0.89,NO,2024-04-24
313,tarime,-1.35,34.3667,17.87,98,100,0.64,TZ,2024-04-24
314,aripuana,-9.1667,-60.6333,23.63,97,59,0.39,BR,2024-04-24
315,labrador city,52.9463,-66.9114,-1.57,67,100,3.13,CA,2024-04-24
316,pitkyaranta,61.5734,31.4792,1.4,96,94,3.08,RU,2024-04-24
317,saint-paul,-21.0096,55.2707,24.06,79,4,1.29,RE,2024-04-24
318,yanykurgan,43.915,67.2481,22.31,45,6,5.02,KZ,2024-04-24
319,edd,13.9297,41.6925,30.85,62,75,3.97,ER,2024-04-24
320,kapuskasing,49.4169,-82.4331,-7.95,53,20,6.17,CA,2024-04-24
321,kalabo,-14.97,22.6814,15.53,36,75,2.26,ZM,2024-04-24
322,la rioja,42.25,-2.5,0.88,82,72,2.94,ES,2024-04-24
323,berd,40.8815,45.3899,10.62,64,8,1.97,AM,2024-04-24
324,taulaga,-11.0553,-171.0883,29.66,75,10,3.72,AS,2024-04-24
325,port alfred,-33.5906,26.891,20.01,89,98,3.37,ZA,2024-04-24
326,kidal,18.4411,1.4078,29.51,13,4,4.76,ML,2024-04-24
327,bhimunipatnam,17.8833,83.4333,29.73,56,5,3.01,IN,2024-04-24
328,kembe,4.6228,21.8865,22.64,94,100,1.12,CF,2024-04-24
329,korsakov,46.6328,142.7813,5.91,82,100,3.83,RU,2024-04-24
330,afaahiti,-17.75,-149.2833,27.93,79,37,4.84,PF,2024-04-24
331,limulunga,-15.0969,23.1376,15.61,37,92,2.16,ZM,2024-04-24
332,tidjikja,18.5564,-11.4271,28.28,16,0,3.32,MR,2024-04-24
333,cockburn town,21.4612,-71.1419,25.67,74,79,6.77,TC,2024-04-24
334,petropavlivka,48.4564,36.4367,10.4,71,100,5.18,UA,2024-04-24
335,sao jose de ribamar,-2.5619,-44.0542,26.21,86,72,3.29,BR,2024-04-24
336,wewak,-3.5534,143.6268,30.09,69,19,2.85,PG,2024-04-24
337,ca mau,9.1769,105.15,36.28,34,100,3.98,VN,2024-04-24
338,kayangel,8.0823,134.7173,28.93,78,98,5.58,PW,2024-04-24
339,ione,38.3527,-120.9327,18.19,94,40,4.63,US,2024-04-24
340,hajjah,15.6943,43.6058,20.46,71,71,0.29,YE,2024-04-24
341,cambrai,50.1667,3.4167,5.06,95,100,0.45,FR,2024-04-24
